Phase,Week,Date,Platform,Content Type,Post / Idea
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 12,TikTok,Video,"'How many calories in a typical iftar?' — Set up a traditional iftar table (dates, laban, soup, samosa, main course). Log each item. Reveal the total."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 14,TikTok,Video,"'Suhoor foods ranked by how full they keep you' — Educational + entertaining. Rank 5 common suhoor foods by satiety-to-calorie ratio."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 15,TikTok,Video,"'I tracked everything I ate during a practice iftar day' — Full-day vlog format condensed to 60 seconds. Wake up, suhoor, fasting period, iftar, late snack. Total calories revealed."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 17,TikTok,Video,"'The Ramadan snack that's secretly 500 calories' — Reveal that luqaimat (sweet dumplings) or kunafa are calorie bombs. Track it in the app."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 18,TikTok,Video,"'How to track your Ramadan meals in 10 seconds' — Quick tutorial. Type 'iftar: dates, lentil soup, chicken kabsa, kunafa' → full breakdown."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 13,Instagram,Carousel,"'Ramadan Calorie Guide' — 8-slide carousel with popular iftar dishes and their calories. Branded with TrackKcal. This WILL get saved and shared."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 15,Instagram,Reel,Cross-post 'calories in typical iftar' from TikTok
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 17,Instagram,Story,Countdown to Ramadan with daily food tips
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 18,Instagram,Reel,"'How to track Ramadan meals in 10 seconds' (cross-post from TikTok)"
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 14,LinkedIn,Text,"We just released a free Ramadan Calorie Guide for all TrackKcal users. It covers iftar and suhoor nutrition for 40+ traditional dishes. This is what building for a specific market looks like — you don't just translate, you create relevant content."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 17,LinkedIn,Text,"Health and fitness app usage in the UAE increases 50% during Ramadan. Instead of just riding the wave, I wanted to provide genuine value. Here's our Ramadan nutrition guide and how it's driving engagement..."
PHASE 4: POST-LAUNCH GROWTH,Week 8,Apr 15,Medium,Article,"'The Complete Ramadan Nutrition Guide: Calories in Every Traditional Dish' — 2000+ word guide. Suhoor options, iftar breakdowns, dessert calories, hydration tips. SEO powerhouse for Ramadan food searches."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 19,Twitter/X,Text,"Ramadan Day [X] calorie check: here's what I ate today and the full breakdown. Sharing these daily to keep myself accountable. Join me — log your iftar in TrackKcal and reply with your total. #RamadanTracker"
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 20,Twitter/X,Text,"Most requested feature this month: [X]. Shipping it this week. Keep the feedback coming. Every feature request gets logged. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 21,Twitter/X,Text,"Observation: users who track during Ramadan have 3x higher retention than regular users. Fasting creates structure, and structure makes tracking easier. Counterintuitive but the data is clear."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 22,Twitter/X,Text,"Quick calorie math: If you eat 2,200 cal at iftar + 800 at suhoor = 3,000 cal total. If your maintenance is 2,000 cal, you'll GAIN weight during Ramadan even while fasting. Tracking makes this visible."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 23,Twitter/X,Text,"Monthly revenue update: MRR is now AED [X]. From $0 to here in [X] weeks. Not quitting my day job yet but the trajectory is real. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 24,Twitter/X,Text,"The most popular logged meal this week in TrackKcal: [whatever it actually is based on data]. You all love your [food]. #RamadanFood"
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 25,Twitter/X,Text,"End of week [X]. TrackKcal stats: [X] meals logged this week, [X] new users, [X] Premium conversions. The Ramadan bump is real."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 19,TikTok,Video,"'Day in the life: tracking my Ramadan meals' — Suhoor to iftar full day with calorie tracking. Real food, real numbers."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 21,TikTok,Video,"'Your iftar spread: predicted vs actual calories' — Ask people to guess, then reveal with the app. The gap is always shocking."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 23,TikTok,Video,"'Why you're gaining weight during Ramadan (the math)' — Quick explainer with the app showing a typical Ramadan day of eating totaling 3,000+ cal. Educational + eye-opening."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 25,TikTok,Video,"'Healthiest iftar I could build under 800 calories' — Challenge yourself to create a filling iftar under a calorie limit. Log everything in real-time."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 20,Instagram,Reel,Cross-post 'predicted vs actual iftar calories' from TikTok
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 22,Instagram,Carousel,"'Ramadan weight gain: why it happens and how to prevent it' — 6 slides with the math and practical tips."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 24,Instagram,Story,"Daily iftar tracking challenge — tag people, share codes"
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 21,LinkedIn,Text,"App usage data during Ramadan: DAU is up [X]%, average sessions per user increased from [X] to [X]. Cultural timing isn't just marketing — it's product-market fit. When your app solves a real problem during a specific moment, the numbers show it."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 24,LinkedIn,Text,"Revenue transparency: TrackKcal MRR is now AED [X]. Here's what I've learned about converting free users to premium in a health app..."
PHASE 4: POST-LAUNCH GROWTH,Week 9,Apr 22,Medium,Article,"'How to Maintain Your Weight During Ramadan: A Data-Driven Guide' — Use actual aggregate data from TrackKcal (anonymized). Average iftar calories, common patterns, practical tips."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 26,Twitter/X,Text,"Something I didn't expect: the AI coach feature has 40% higher usage during Ramadan. People want guidance on what to eat for suhoor, not just calorie numbers. Lesson: coaching > counting."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 27,Twitter/X,Thread,"2 months of TrackKcal. Time for a brutally honest retrospective. What worked, what flopped, what's next. Thread"
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 28,Twitter/X,Text,"[X] total downloads. When I tweeted Day 1 with 0 users on Feb 22, I genuinely didn't know if anyone would care. To everyone who downloaded, shared a referral code, left a review, or just followed along — this is yours as much as it's mine."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 29,Twitter/X,Text,"Next 30 days roadmap: 1. [Feature] 2. [Feature] 3. Arabic language support 4. [Feature]. What should be #5? Reply with your vote. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 30,Twitter/X,Text,"End of Ramadan numbers: [X] meals tracked during Ramadan, [X] new users, [X]% increase in DAU. Building for your market > building for everyone."
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 1,Twitter/X,Text,"May goals: [X] total downloads, AED [X] MRR, launch [feature], onboard [X] micro-influencers. Screenshot this — I'll report back in 30 days. #buildinpublic"
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 2,Twitter/X,Text,"The Eid feast calorie check: logged an entire Eid lunch. Total damage: [X] calories. Worth every single one. Happy Eid to everyone celebrating."
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 3,Twitter/X,Text,"Day 71 of building in public. From 0 to [X] downloads, $0 to AED [X] MRR, and the best community I could ask for. We're just getting started."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 26,TikTok,Video,"'Eid feast calorie reveal' — Traditional Eid celebration meal, track everything, big number reveal. Festive + fun."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 28,TikTok,Video,"'2 months of building an app — honest update' — Face to camera, real numbers, what surprised you, what's next."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 30,TikTok,Video,"'Top 10 most logged meals in TrackKcal this month' — Reveal actual app data. People love lists and seeing what's popular."
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 2,TikTok,Video,"'What happens when you track every meal for 60 days' — Your personal journey recap. Weight change, energy levels, what you learned about your eating habits."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 27,Instagram,Reel,"'2 months of TrackKcal — the journey' — Montage of best moments: Day 1 tweet, launch day, first review, milestones."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 30,Instagram,Carousel,"'Ramadan by the numbers' — TrackKcal usage stats during Ramadan. Beautiful data visualization carousel."
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 2,Instagram,Reel,"'Eid feast calorie reveal' (cross-post from TikTok)"
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 28,LinkedIn,Text,"2-month founder retrospective. TrackKcal launched 5 weeks ago. Here's the full transparent breakdown: downloads, revenue, costs, retention, what I'd do differently, and what's next."
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 1,LinkedIn,Text,"May plan: Arabic localization, gym partnership pilots, and scaling to 5,000 downloads. Here's how I'm planning to get there as a solo founder with an AED 1,000/month marketing budget."
PHASE 4: POST-LAUNCH GROWTH,Week 10,Apr 29,Medium,Article,"'2 Months, 1 Solo Founder, [X] Downloads: The Full TrackKcal Retrospective' — The definitive recap. Numbers, screenshots, lessons, costs, wins, failures."
PHASE 4: POST-LAUNCH GROWTH,Week 10,May 1,YouTube,Video,"'I Built and Launched an AI App in 2 Months — Full Breakdown' — 8-12 minute video. The complete journey from code to launch to first users. Cover: the idea, the tech stack, the build-in-public strategy, launch day, real numbers."
